recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
133071294,"{'steamid': '76561198044733279', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 401, 'playtime_last_two_weeks': 0, 'playtime_at_review': 274, 'last_played': 1693728453}",koreana,갓겜 해리포터 좋아하면 무조건 해야될 게임,1676689479,1676689479,True,0,0,0,0,True,False,False,True,
133070788,"{'steamid': '76561198247180202', 'num_games_owned': 54, 'num_reviews': 23, 'playtime_forever': 1667, 'playtime_last_two_weeks': 0, 'playtime_at_review': 675, 'last_played': 1712823305}",koreana,모니터필립스인치최대주사율최적화이슈가있던데이정도사양으로텍스트만울트라나머지높음으로플레이하는데엔문제없었고평균프레임은유지가능했습니다*대생들이라면소설이나영화로한번쯤접해봤을세계관을배경으로한게임이라그런지유비식오픈월드지만지겹지않게소한것들구경하며돌아다니기만해도충분히재밌게플레이가가능합니다적당한타격감과여러마법들의조합으로이어나가는전투방식도기대보다훨씬좋은편이고스토리나서브퀘스트도,1676688735,1676688735,True,0,0,0,0,True,False,False,True,
133070677,"{'steamid': '76561199286544380', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 1030, 'playtime_last_two_weeks': 0, 'playtime_at_review': 731, 'last_played': 1706529735}",koreana,일단은진정성있는판타지라보고싶다옛게임들은맵에존재하는대부분이반복되는기계혹은물건으로느껴지는데여긴맵에존재하는것하나가말그대로살아있다란것을느끼게해준다안좋게보자면좀정신사납긴하지만역시해리포터세계관이랄까판타지란뭘까현실에서느껴**못한것은그질문에대한답을알게해주는게임일것이다그리고최적화가엉망이다란말이있어서좀우려했었는데높음사양에서매끄럽게잘돌아간다본인컴사양램국민사양,1676688572,1676688572,True,0,0,0,0,True,False,False,True,
133070606,"{'steamid': '76561198867590786', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 4843, 'playtime_last_two_weeks': 41, 'playtime_at_review': 1199, 'last_played': 1716655709}",koreana,명작,1676688479,1676688479,True,0,0,0,0,True,False,False,True,
133070141,"{'steamid': '76561199286873149', 'num_games_owned': 0, 'num_reviews': 1, 'playtime_forever': 3164, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1304, 'last_played': 1679205907}",koreana,미친 이거 다른게임보다 플레이타임 엄청 긴데도 하나도 안지루하고 모험또는 보물찾는 요소가 너무 재미있음 꼭해야할 올해의 게임인듯,1676687769,1676687769,True,0,0,0,0,True,True,False,True,
133068990,"{'steamid': '76561198276615856', 'num_games_owned': 0, 'num_reviews': 30, 'playtime_forever': 4080, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2253, 'last_played': 1677230510}",koreana,오 재미있어요,1676686082,1676686082,True,0,0,0,0,True,False,False,True,
133067082,"{'steamid': '76561198346671652', 'num_games_owned': 0, 'num_reviews': 6, 'playtime_forever': 2944, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1290, 'last_played': 1677503965}",koreana,해리포터를 좋아한다면 안좋아할수 없다 생각 전투도 타격감 좋고 생각보다 재미있음 난이도는 어렵지 않다 생각함,1676683234,1676683234,True,0,0,0,0,True,False,False,True,
133066721,"{'steamid': '76561198420180918', 'num_games_owned': 0, 'num_reviews': 6, 'playtime_forever': 827, 'playtime_last_two_weeks': 0, 'playtime_at_review': 641, 'last_played': 1677239004}",koreana,재밌는데 컬렉션 요소 뺑이 너무 심함,1676682672,1676682672,True,0,0,0,0,True,False,False,True,
133066191,"{'steamid': '76561198241500728', 'num_games_owned': 47, 'num_reviews': 6, 'playtime_forever': 3084, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2255, 'last_played': 1681797108}",koreana,나름 재밌음,1676681886,1676681886,True,0,0,0,0,True,False,False,True,
133062429,"{'steamid': '76561198441025433', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 3170, 'playtime_last_two_weeks': 0, 'playtime_at_review': 2168, 'last_played': 1676943887}",koreana,저주 마법들은 선택적으로 배우거나 안 배울수 있다 아바다 케다브라를 써보고 싶어서 다 배워서 진행했는데 전투가 엄청 쉬워진다 첨엔 재밌는데 시간이 지나니 저주 스킬 및 재능때문에 박진감이 많이 줄어들었다 저주스킬없이 하면 좀 더 박진감 있게 할 수 있을듯 하다 졸업까지 했는데 필드도 딱히 약하고 게임을 좋아하는 본인은 컨텐츠가 많이 부실하다 느껴진다 매력적인 전투방식이 엔딩이후에도 계속 사용 될 수 있는 컨텐츠가 만들어 지면 좋겠다 라던지 온라인으로 팀,1676676626,1676939305,True,1,0,0,0,True,False,False,True,
